toldWhatToDo,engagerMovingWorker,workerDecidingHowWorkIsDone,whenWorkHasToBeDone,workerDecideWhere,CarryOverValue,Exit,CarryOverFactName
Yes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
